Time,DistanceMeters,Cadence,SpeedKPH,Watts,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,HeartRate
2019-08-25T18:06:13.000Z,52738.421875,0,7.763000011444092,1,48.94349131733179,-122.82010847702622,13.800000190734863,130
2019-08-25T18:06:14.000Z,52746.109375,0,7.688000202178955,0,48.94342082552612,-122.8201337903738,13.800000190734863,130
2019-08-25T18:06:15.000Z,52753.73046875,0,7.623000144958496,0,48.94335527904332,-122.820163378492,13.800000190734863,130
2019-08-25T18:06:16.000Z,52761.2890625,0,7.558000087738037,0,48.94328805617988,-122.82019212841988,13.800000190734863,130
2019-08-25T18:06:17.000Z,52768.8515625,0,7.558000087738037,0,48.94322200678289,-122.8202186152339,13.600000381469727,129
2019-08-25T18:06:18.000Z,52776.390625,0,7.539000034332275,0,48.94315713085234,-122.82024552114308,13.600000381469727,129
2019-08-25T18:06:19.000Z,52783.859375,0,7.473999977111816,0,48.943093763664365,-122.82026563771069,13.399999618530273,129
2019-08-25T18:06:20.000Z,52791.30078125,0,7.436999797821045,0,48.94303039647639,-122.82028080895543,13.199999809265137,129
2019-08-25T18:06:21.000Z,52798.6015625,0,7.306000232696533,0,48.94296635873616,-122.82030193135142,13.0,128
2019-08-25T18:06:22.000Z,52805.73828125,0,7.138000011444092,0,48.942890083417296,-122.82031492330134,13.0,128
2019-08-25T18:06:23.000Z,52812.671875,0,6.933000087738037,0,48.94282126799226,-122.82031483948231,13.0,128
2019-08-25T18:06:24.000Z,52819.46875,0,6.793000221252441,0,48.94276158884168,-122.82031685113907,13.0,127
2019-08-25T18:06:25.000Z,52826.1484375,12,6.681000232696533,202,48.94269520416856,-122.82032313756645,12.600000381469727,127
2019-08-25T18:06:26.000Z,52833.05859375,80,6.914000034332275,316,48.94263175316155,-122.82032615505159,12.600000381469727,127
2019-08-25T18:06:27.000Z,52840.08984375,91,7.026000022888184,243,48.94257509149611,-122.82031953334808,12.600000381469727,128
2019-08-25T18:06:28.000Z,52847.1796875,96,7.091000080108643,263,48.942524548619986,-122.82030964270234,12.600000381469727,128
2019-08-25T18:06:29.000Z,52854.3515625,95,7.165999889373779,272,48.94247341901064,-122.82029698602855,12.600000381469727,128
2019-08-25T18:06:30.000Z,52861.62890625,97,7.2870001792907715,237,48.94242505542934,-122.82027234323323,12.399999618530273,128
2019-08-25T18:06:31.000Z,52868.98046875,98,7.353000164031982,218,48.94237660802901,-122.82023621723056,12.199999809265137,128
2019-08-25T18:06:32.000Z,52876.421875,99,7.427000045776367,293,48.942340733483434,-122.82021157443523,12.399999618530273,128
2019-08-25T18:06:33.000Z,52883.94140625,100,7.520999908447266,265,48.942307541146874,-122.82017201185226,12.399999618530273,129
2019-08-25T18:06:34.000Z,52891.51171875,101,7.577000141143799,262,48.94225699827075,-122.82013052143157,12.399999618530273,129
2019-08-25T18:06:35.000Z,52899.2109375,104,7.697999954223633,283,48.94217133522034,-122.82007654197514,12.600000381469727,129
2019-08-25T18:06:36.000Z,52906.98828125,103,7.7820000648498535,221,48.942087264731526,-122.82002918422222,13.0,130
2019-08-25T18:06:37.000Z,52914.8203125,103,7.8379998207092285,260,48.94202230498195,-122.81998970545828,12.800000190734863,130
2019-08-25T18:06:38.000Z,52922.66015625,106,7.8379998207092285,227,48.9419730193913,-122.8199506457895,12.800000190734863,131
2019-08-25T18:06:39.000Z,52930.55078125,106,7.894000053405762,251,48.941904874518514,-122.81989322975278,12.600000381469727,131
2019-08-25T18:06:40.000Z,52938.5,105,7.949999809265137,242,48.94183563999832,-122.81983246095479,12.600000381469727,132
2019-08-25T18:06:41.000Z,52946.53125,106,8.015000343322754,231,48.94177168607712,-122.81978074461222,12.600000381469727,132
2019-08-25T18:06:42.000Z,52954.578125,110,8.062000274658203,194,48.94170664250851,-122.81972852535546,12.399999618530273,132
2019-08-25T18:06:43.000Z,52962.578125,110,7.995999813079834,0,48.94160798750818,-122.81966700218618,12.399999618530273,133
2019-08-25T18:06:44.000Z,52970.5,0,7.921999931335449,0,48.94151922315359,-122.81960765831172,12.399999618530273,134
2019-08-25T18:06:45.000Z,52978.44921875,60,7.940000057220459,0,48.9414772298187,-122.819560803473,12.0,134
2019-08-25T18:06:46.000Z,52986.3984375,0,7.949999809265137,1,48.94141838885844,-122.8194968495518,12.0,134
2019-08-25T18:06:47.000Z,52994.328125,0,7.940000057220459,1,48.94135409966111,-122.81942912377417,11.800000190734863,134
2019-08-25T18:06:48.000Z,53002.2109375,0,7.866000175476074,0,48.941290313377976,-122.81936173327267,11.800000190734863,134
2019-08-25T18:06:49.000Z,53009.9296875,0,7.735000133514404,0,48.94120984710753,-122.8192843683064,12.0,134
2019-08-25T18:06:50.000Z,53017.44140625,0,7.501999855041504,0,48.94114689901471,-122.81921043992043,12.0,134
2019-08-25T18:06:51.000Z,53024.66015625,0,7.230999946594238,0,48.94107808358967,-122.81913734972477,11.800000190734863,133
2019-08-25T18:06:52.000Z,53031.87109375,66,7.203000068664551,413,48.941002395004034,-122.81905663199723,12.0,133
2019-08-25T18:06:53.000Z,53039.12109375,95,7.25,327,48.94093022681773,-122.81897189095616,11.800000190734863,133
2019-08-25T18:06:54.000Z,53046.30859375,95,7.193999767303467,286,48.940876414999366,-122.8188837133348,12.0,134
2019-08-25T18:06:55.000Z,53053.48046875,97,7.165999889373779,308,48.94083961844444,-122.81881053932011,12.0,134
2019-08-25T18:06:56.000Z,53060.6484375,96,7.165999889373779,323,48.94080433063209,-122.81872864812613,11.800000190734863,134
2019-08-25T18:06:57.000Z,53067.83984375,96,7.203000068664551,369,48.940772814676166,-122.81865388154984,12.199999809265137,134
2019-08-25T18:06:58.000Z,53075.1015625,96,7.25,375,48.94074087962508,-122.81858062371612,12.199999809265137,134
2019-08-25T18:06:59.000Z,53082.51953125,95,7.418000221252441,408,48.94071481190622,-122.81850510276854,12.199999809265137,134
2019-08-25T18:07:00.000Z,53089.96875,100,7.454999923706055,342,48.94068396650255,-122.81841818243265,12.399999618530273,134
2019-08-25T18:07:01.000Z,53097.44921875,101,7.482999801635742,292,48.94065471366048,-122.81832849606872,12.600000381469727,135
2019-08-25T18:07:02.000Z,53104.96875,98,7.520999908447266,261,48.94062847830355,-122.81823746860027,12.600000381469727,135
2019-08-25T18:07:03.000Z,53112.53125,99,7.558000087738037,290,48.94060458987951,-122.81814501620829,12.600000381469727,135
2019-08-25T18:07:04.000Z,53120.109375,105,7.577000141143799,220,48.94058648496866,-122.81805214472115,12.600000381469727,135
2019-08-25T18:07:05.000Z,53127.53125,75,7.427000045776367,0,48.94057475030422,-122.81795709393919,12.600000381469727,136
2019-08-25T18:07:06.000Z,53134.671875,0,7.138000011444092,0,48.940568044781685,-122.81786162406206,12.600000381469727,137
2019-08-25T18:07:07.000Z,53141.55078125,0,6.876999855041504,0,48.940566033124924,-122.81777353025973,12.600000381469727,137
2019-08-25T18:07:08.000Z,53148.171875,0,6.614999771118164,0,48.94056519493461,-122.81768761575222,12.600000381469727,137
2019-08-25T18:07:09.000Z,53154.44921875,0,6.28000020980835,0,48.94056284800172,-122.8176022041589,12.800000190734863,137
2019-08-25T18:07:10.000Z,53160.48046875,40,6.0279998779296875,181,48.940561171621084,-122.81751813367009,12.600000381469727,137
2019-08-25T18:07:11.000Z,53166.51171875,74,6.0279998779296875,289,48.94056687131524,-122.81743682920933,12.800000190734863,137
2019-08-25T18:07:12.000Z,53172.55078125,80,6.046000003814697,228,48.94057014025748,-122.81735988333821,12.800000190734863,137
2019-08-25T18:07:13.000Z,53178.62109375,93,6.073999881744385,397,48.94056812860072,-122.81728059053421,13.0,137
2019-08-25T18:07:14.000Z,53184.87890625,95,6.251999855041504,456,48.94056502729654,-122.81720104627311,13.199999809265137,137
2019-08-25T18:07:15.000Z,53191.23828125,94,6.363999843597412,357,48.94056209363043,-122.81712368130684,13.399999618530273,138
2019-08-25T18:07:16.000Z,53197.640625,97,6.401000022888184,334,48.94056192599237,-122.81704053282738,13.399999618530273,138
2019-08-25T18:07:17.000Z,53204.05859375,96,6.409999847412109,226,48.94056377001107,-122.81695763580501,13.800000190734863,138
2019-08-25T18:07:18.000Z,53210.28125,66,6.232999801635742,2,48.94056293182075,-122.81688127666712,13.800000190734863,139
2019-08-25T18:07:19.000Z,53216.26171875,0,5.9720001220703125,2,48.940558824688196,-122.8168059233576,14.199999809265137,139
2019-08-25T18:07:20.000Z,53222.05859375,40,5.803999900817871,1,48.940554801374674,-122.81673702411354,14.0,138
2019-08-25T18:07:21.000Z,53227.73046875,54,5.664000034332275,0,48.940551448613405,-122.81667172908783,14.0,139
2019-08-25T18:07:22.000Z,53233.30078125,40,5.570000171661377,0,48.940552370622754,-122.81660576350987,14.199999809265137,139
2019-08-25T18:07:23.000Z,53238.69921875,0,5.4019999504089355,0,48.940553879365325,-122.81653191894293,14.199999809265137,139
2019-08-25T18:07:24.000Z,53243.94140625,0,5.24399995803833,0,48.94055815413594,-122.81646251678467,14.199999809265137,139
2019-08-25T18:07:25.000Z,53249.109375,42,5.169000148773193,258,48.94055983051658,-122.8163880854845,14.600000381469727,139
2019-08-25T18:07:26.000Z,53254.5703125,73,5.458000183105469,417,48.94056301563978,-122.81630921177566,14.800000190734863,139
2019-08-25T18:07:27.000Z,53260.3203125,87,5.756999969482422,354,48.94056578166783,-122.81622715294361,14.800000190734863,139
